time,open,high,low,close,volume
2021-04-20 15:14:00-04:00,166.68,166.68,166.68,166.68,102
2021-04-20 15:15:00-04:00,166.68,166.68,166.68,166.68,200
2021-04-20 15:17:00-04:00,166.65,166.65,166.65,166.65,100
2021-04-20 15:19:00-04:00,166.58,166.58,166.58,166.58,200
2021-04-20 15:21:00-04:00,166.52,166.52,166.52,166.52,100
2021-04-20 15:22:00-04:00,166.55,166.55,166.54,166.54,1000
2021-04-20 15:31:00-04:00,166.53,166.53,166.53,166.53,100
2021-04-20 15:32:00-04:00,166.54,166.54,166.54,166.54,100
2021-04-20 15:37:00-04:00,166.515,166.515,166.515,166.515,115
2021-04-20 15:39:00-04:00,166.52,166.52,166.515,166.515,600
2021-04-20 15:40:00-04:00,166.515,166.515,166.515,166.515,100
2021-04-20 15:41:00-04:00,166.54,166.54,166.535,166.535,200
2021-04-20 15:42:00-04:00,166.54,166.54,166.54,166.54,300
2021-04-20 15:44:00-04:00,166.55,166.57,166.55,166.56,1000
2021-04-20 15:46:00-04:00,166.55,166.55,166.55,166.55,100
2021-04-20 15:47:00-04:00,166.555,166.555,166.555,166.555,100
2021-04-20 15:48:00-04:00,166.57,166.57,166.55,166.55,700
2021-04-20 15:49:00-04:00,166.54,166.54,166.54,166.54,100
2021-04-20 15:50:00-04:00,166.53,166.53,166.53,166.53,578
2021-04-20 15:51:00-04:00,166.54,166.54,166.54,166.54,300
2021-04-20 15:53:00-04:00,166.57,166.57,166.57,166.57,306
2021-04-20 15:54:00-04:00,166.56,166.56,166.56,166.56,491
2021-04-20 15:55:00-04:00,166.56,166.56,166.56,166.56,629
2021-04-20 15:56:00-04:00,166.54,166.54,166.515,166.515,877
2021-04-20 15:57:00-04:00,166.515,166.515,166.51,166.515,3419
2021-04-20 15:58:00-04:00,166.51,166.515,166.51,166.515,413
2021-04-20 15:59:00-04:00,166.51,166.51,166.49,166.49,1438
2021-04-21 09:30:00-04:00,167.185,167.185,167.185,167.185,140
2021-04-21 09:33:00-04:00,167.39,167.39,167.39,167.39,200
2021-04-21 09:44:00-04:00,167.46,167.5,167.46,167.5,2005
2021-04-21 09:45:00-04:00,167.7,167.7,167.7,167.7,100
2021-04-21 09:46:00-04:00,167.705,167.81,167.705,167.81,251
2021-04-21 09:50:00-04:00,167.965,167.965,167.965,167.965,118
2021-04-21 09:51:00-04:00,168.065,168.065,168.065,168.065,113
2021-04-21 09:59:00-04:00,168.37,168.37,168.23,168.23,201
2021-04-21 10:01:00-04:00,168.26,168.26,168.26,168.26,102
2021-04-21 10:03:00-04:00,168.27,168.27,168.27,168.27,102
2021-04-21 10:05:00-04:00,168.21,168.21,168.21,168.21,100
2021-04-21 10:06:00-04:00,168.07,168.07,168.07,168.07,100
2021-04-21 10:23:00-04:00,168.08,168.08,168.08,168.08,100
2021-04-21 10:28:00-04:00,168.27,168.27,168.27,168.27,100
2021-04-21 10:30:00-04:00,168.06,168.06,168.06,168.06,200
2021-04-21 10:40:00-04:00,168.12,168.12,168.12,168.12,200
2021-04-21 10:41:00-04:00,168.07,168.07,168.07,168.07,101
2021-04-21 10:44:00-04:00,168.13,168.13,168.13,168.13,101
2021-04-21 10:48:00-04:00,167.855,167.855,167.855,167.855,415
2021-04-21 10:50:00-04:00,167.64,167.64,167.64,167.64,103
2021-04-21 10:51:00-04:00,167.76,167.76,167.76,167.76,103
2021-04-21 10:52:00-04:00,167.8,167.81,167.8,167.81,200
2021-04-21 11:01:00-04:00,167.65,167.65,167.65,167.65,200
2021-04-21 11:02:00-04:00,167.66,167.66,167.66,167.66,200
2021-04-21 11:03:00-04:00,167.61,167.61,167.61,167.61,230
2021-04-21 11:04:00-04:00,167.69,167.77,167.69,167.77,301
2021-04-21 11:14:00-04:00,167.9,167.9,167.9,167.9,202
2021-04-21 11:18:00-04:00,167.86,167.86,167.86,167.86,200
2021-04-21 11:30:00-04:00,168.05,168.05,168.05,168.05,100
2021-04-21 11:36:00-04:00,168.085,168.085,168.085,168.085,200
2021-04-21 11:38:00-04:00,168.11,168.11,168.105,168.105,3201
2021-04-21 11:39:00-04:00,168.105,168.105,168.08,168.08,584
2021-04-21 11:47:00-04:00,168.04,168.04,168.04,168.04,100
2021-04-21 11:48:00-04:00,168.1,168.1,168.09,168.09,400
2021-04-21 11:49:00-04:00,168.09,168.09,168.09,168.09,100
2021-04-21 11:50:00-04:00,168.1,168.1,168.1,168.1,201
2021-04-21 11:54:00-04:00,168.09,168.09,168.09,168.09,202
2021-04-21 11:55:00-04:00,168.1,168.12,168.1,168.12,400
2021-04-21 11:58:00-04:00,168.02,168.02,168.02,168.02,100
2021-04-21 11:59:00-04:00,167.98,167.98,167.98,167.98,100
2021-04-21 12:00:00-04:00,167.96,167.96,167.96,167.96,200
2021-04-21 12:02:00-04:00,168.06,168.06,168.06,168.06,101
2021-04-21 12:07:00-04:00,168.075,168.075,168.075,168.075,117
2021-04-21 12:11:00-04:00,168.035,168.035,168.035,168.035,214
2021-04-21 12:14:00-04:00,168.05,168.05,168.05,168.05,201
2021-04-21 12:17:00-04:00,168.0,168.0,168.0,168.0,100
2021-04-21 12:22:00-04:00,167.96,167.96,167.96,167.96,101
2021-04-21 12:25:00-04:00,167.95,167.95,167.95,167.95,100
2021-04-21 12:29:00-04:00,167.85,167.85,167.85,167.85,120
2021-04-21 12:41:00-04:00,167.9,167.9,167.9,167.9,100
2021-04-21 12:45:00-04:00,167.78,167.78,167.77,167.77,290
2021-04-21 12:56:00-04:00,167.79,167.79,167.79,167.79,100
2021-04-21 12:58:00-04:00,167.76,167.76,167.69,167.69,402
2021-04-21 13:00:00-04:00,167.76,167.76,167.76,167.76,105
2021-04-21 13:02:00-04:00,167.93,167.93,167.83,167.83,200
2021-04-21 13:10:00-04:00,167.88,167.88,167.88,167.88,100
2021-04-21 13:11:00-04:00,167.88,167.88,167.85,167.85,200
2021-04-21 13:31:00-04:00,167.925,167.925,167.915,167.915,401
2021-04-21 13:34:00-04:00,167.965,167.965,167.965,167.965,101
2021-04-21 13:35:00-04:00,167.965,167.97,167.965,167.97,201
2021-04-21 13:36:00-04:00,167.945,167.945,167.945,167.945,201
2021-04-21 13:39:00-04:00,167.915,167.945,167.915,167.945,400
2021-04-21 13:41:00-04:00,167.945,167.945,167.945,167.945,100
2021-04-21 13:43:00-04:00,167.925,167.925,167.925,167.925,211
2021-04-21 13:44:00-04:00,167.935,167.945,167.935,167.945,200
2021-04-21 13:45:00-04:00,167.925,167.93,167.925,167.93,200
2021-04-21 13:46:00-04:00,167.96,167.96,167.96,167.96,100
2021-04-21 13:50:00-04:00,167.945,167.945,167.935,167.935,200
2021-04-21 13:54:00-04:00,167.965,167.965,167.965,167.965,201
2021-04-21 13:55:00-04:00,167.975,167.975,167.975,167.975,103
2021-04-21 13:56:00-04:00,167.95,167.95,167.95,167.95,101
2021-04-21 13:57:00-04:00,167.965,167.965,167.965,167.965,127
2021-04-21 13:59:00-04:00,167.87,167.87,167.87,167.87,100
2021-04-21 14:00:00-04:00,167.87,167.88,167.855,167.855,1100
2021-04-21 14:01:00-04:00,167.845,167.845,167.83,167.83,200
2021-04-21 14:02:00-04:00,167.805,167.805,167.78,167.78,600
2021-04-21 14:03:00-04:00,167.78,167.78,167.78,167.78,101
2021-04-21 14:04:00-04:00,167.805,167.805,167.805,167.805,100
2021-04-21 14:05:00-04:00,167.815,167.825,167.815,167.825,401
2021-04-21 14:06:00-04:00,167.835,167.835,167.835,167.835,201
2021-04-21 14:16:00-04:00,167.865,167.865,167.865,167.865,101
2021-04-21 14:20:00-04:00,167.84,167.84,167.805,167.81,800
2021-04-21 14:21:00-04:00,167.845,167.85,167.845,167.85,304
2021-04-21 14:23:00-04:00,167.805,167.805,167.805,167.805,105
2021-04-21 14:26:00-04:00,167.8,167.8,167.79,167.79,200
2021-04-21 14:27:00-04:00,167.795,167.795,167.795,167.795,100
2021-04-21 14:31:00-04:00,167.82,167.82,167.82,167.82,100
2021-04-21 14:36:00-04:00,167.86,167.86,167.86,167.86,100
2021-04-21 14:39:00-04:00,167.9,167.9,167.9,167.9,100
2021-04-21 14:42:00-04:00,167.9,167.9,167.9,167.9,401
2021-04-21 14:43:00-04:00,167.92,167.92,167.92,167.92,113
2021-04-21 14:45:00-04:00,167.95,167.95,167.94,167.94,501
2021-04-21 14:47:00-04:00,167.95,167.96,167.94,167.96,401
2021-04-21 14:52:00-04:00,168.0,168.0,168.0,168.0,103
2021-04-21 15:03:00-04:00,167.99,168.01,167.99,168.0,801
2021-04-21 15:04:00-04:00,168.03,168.03,168.03,168.03,600
2021-04-21 15:08:00-04:00,168.05,168.05,168.05,168.05,600
